Frame,Conf,X,Y,Width,Height,ID,ID_Norm
10,0.79833984375,718,205,68,58,2,1
10,0.8232421875,711,326,114,88,3,2
10,0.69580078125,599,283,104,83,4,3
10,0.8154296875,434,282,88,58,5,4
10,0.58154296875,836,238,44,31,6,5
10,0.607421875,389,254,65,51,7,6
10,0.73095703125,1125,282,66,48,8,7
10,0.56396484375,440,231,52,42,10,9
11,0.8623046875,536,348,131,97,1,0
11,0.79931640625,718,206,67,58,2,1
11,0.85107421875,714,327,115,88,3,2
11,0.6826171875,600,283,104,85,4,3
11,0.82421875,435,283,89,59,5,4
11,0.640625,835,238,44,32,6,5
11,0.55810546875,389,254,64,52,7,6
11,0.689453125,1123,281,66,48,8,7
11,0.537109375,916,248,53,42,9,8
11,0.544921875,441,232,51,43,10,9
12,0.86328125,540,349,135,98,1,0
12,0.7919921875,717,205,66,58,2,1
12,0.85595703125,717,327,115,89,3,2
12,0.66552734375,602,284,106,85,4,3
12,0.83203125,436,283,88,60,5,4
12,0.6318359375,834,238,44,32,6,5
12,0.57763671875,390,255,64,51,7,6
12,0.73388671875,1121,281,66,48,8,7
12,0.51953125,442,232,50,43,10,9
13,0.87158203125,543,350,136,97,1,0
13,0.751953125,716,205,66,58,2,1
13,0.82763671875,721,328,115,90,3,2
13,0.7041015625,603,284,105,86,4,3
13,0.83984375,437,284,88,60,5,4
13,0.57177734375,833,238,44,32,6,5
13,0.611328125,390,256,64,51,7,6
13,0.73876953125,1119,281,65,48,8,7
13,0.56396484375,913,247,53,42,9,8
14,0.8740234375,544,351,137,98,1,0
14,0.77978515625,715,205,68,58,2,1
14,0.81640625,724,329,116,91,3,2
14,0.67578125,605,284,105,86,4,3
14,0.83544921875,438,284,88,61,5,4
14,0.60009765625,831,238,45,32,6,5
14,0.642578125,391,257,64,50,7,6
14,0.7294921875,1117,281,64,48,8,7
14,0.505859375,912,246,52,42,9,8
15,0.884765625,546,352,136,100,1,0
15,0.7890625,714,205,69,59,2,1
15,0.8232421875,727,330,118,92,3,2
15,0.689453125,608,285,106,86,4,3
15,0.78515625,439,284,88,62,5,4
15,0.56201171875,831,237,45,33,6,5
15,0.64794921875,391,257,64,50,7,6
15,0.7890625,1114,280,65,48,8,7
15,0.5078125,444,232,50,44,10,9
16,0.88818359375,547,353,134,100,1,0
16,0.76220703125,713,205,69,59,2,1
16,0.72509765625,730,332,120,93,3,2
16,0.7734375,441,285,88,62,5,4
16,0.552734375,830,238,45,32,6,5
16,0.62451171875,391,257,64,50,7,6
16,0.76904296875,1112,280,64,49,8,7
16,0.501953125,910,246,52,42,9,8
17,0.89990234375,548,354,133,100,1,0
17,0.763671875,713,205,68,59,2,1
17,0.67919921875,733,333,120,93,3,2
17,0.607421875,611,286,105,86,4,3
17,0.78515625,442,286,87,62,5,4
17,0.55078125,829,237,45,32,6,5
17,0.541015625,393,258,66,51,7,6
17,0.7490234375,1111,280,63,49,8,7
18,0.9013671875,550,355,133,101,1,0
18,0.763671875,713,204,69,59,2,1
18,0.7216796875,737,334,121,93,3,2
18,0.5849609375,612,287,105,87,4,3
18,0.7919921875,443,286,88,61,5,4
18,0.638671875,394,258,68,52,7,6
18,0.767578125,1109,280,65,49,8,7
19,0.9033203125,551,357,135,103,1,0
19,0.73095703125,712,204,70,59,2,1
19,0.7734375,740,335,121,93,3,2
19,0.79931640625,444,287,87,61,5,4
19,0.67578125,395,259,69,52,7,6
19,0.75634765625,1108,279,64,48,8,7
20,0.900390625,553,358,135,103,1,0
20,0.716796875,711,204,70,58,2,1
20,0.80908203125,743,336,121,94,3,2
20,0.7841796875,446,287,90,62,5,4
20,0.65673828125,395,259,68,52,7,6
20,0.78271484375,1106,279,63,47,8,7
20,0.5234375,446,234,51,44,10,3
21,0.8984375,555,359,135,104,1,0
21,0.74755859375,712,204,69,58,2,1
21,0.79296875,748,337,121,95,3,2
21,0.56201171875,618,289,105,88,4,5
21,0.767578125,447,287,91,62,5,4
21,0.64794921875,396,260,67,52,7,6
21,0.72314453125,1105,278,63,48,8,7
21,0.57177734375,448,234,52,45,10,3
22,0.90185546875,557,361,136,104,1,0
22,0.76904296875,711,204,69,58,2,1
22,0.796875,751,339,123,96,3,2
22,0.7578125,447,288,89,63,5,4
22,0.640625,396,260,66,53,7,6
22,0.7138671875,1103,277,64,48,8,7
23,0.89697265625,559,362,135,105,1,0
23,0.7294921875,711,203,69,58,2,1
23,0.78662109375,754,340,124,96,3,2
23,0.78271484375,449,289,90,64,5,4
23,0.67041015625,396,260,66,54,7,6
23,0.5888671875,1101,277,63,48,8,7
23,0.51953125,450,234,53,45,10,3
24,0.8984375,562,363,137,105,1,0
24,0.73388671875,709,203,69,58,2,1
24,0.796875,758,341,124,97,3,2
24,0.57177734375,626,291,111,89,4,5
24,0.7880859375,450,290,92,63,5,4
24,0.505859375,822,235,44,31,6,8
24,0.68408203125,398,260,68,54,7,6
24,0.72509765625,1099,277,63,48,8,7
24,0.53515625,451,234,55,45,10,3
25,0.8984375,564,365,137,105,1,0
25,0.7373046875,709,203,69,58,2,1
25,0.5234375,762,342,125,97,3,2
25,0.689453125,629,292,112,90,4,5
25,0.79833984375,451,290,92,63,5,4
25,0.689453125,398,261,69,55,7,6
25,0.74609375,1097,276,62,47,8,7
25,0.57177734375,452,234,54,45,10,3
26,0.8955078125,566,366,140,105,1,0
26,0.7138671875,708,203,69,58,2,1
26,0.82666015625,766,343,126,97,3,2
26,0.66357421875,630,292,112,90,4,5
26,0.78125,452,290,91,64,5,4
26,0.638671875,399,261,69,54,7,6
26,0.73095703125,1095,276,62,46,8,7
26,0.55810546875,452,234,53,45,10,3
27,0.89501953125,569,367,140,106,1,0
27,0.7041015625,708,203,68,58,2,1
27,0.85595703125,769,344,128,98,3,2
27,0.607421875,633,293,114,91,4,5
27,0.78515625,452,291,91,64,5,4
27,0.56201171875,818,235,44,32,6,8
27,0.69091796875,401,261,69,55,7,6
27,0.71240234375,1092,276,62,46,8,7
27,0.5546875,453,234,53,45,10,3
28,0.8857421875,571,368,141,107,1,0
28,0.76611328125,707,203,68,58,2,1
28,0.88427734375,773,346,129,99,3,2
28,0.6826171875,636,294,115,92,4,5
28,0.79931640625,453,291,91,64,5,4
28,0.56591796875,817,234,44,33,6,8
28,0.716796875,402,262,68,55,7,6
28,0.56787109375,1091,275,62,46,8,7
28,0.5546875,454,234,54,46,10,3
29,0.88330078125,573,369,141,109,1,0
29,0.732421875,706,203,68,59,2,1
29,0.79833984375,777,347,131,100,3,2
29,0.82421875,638,295,115,93,4,5
29,0.80419921875,455,291,91,65,5,4
29,0.71875,401,262,69,55,7,6
29,0.673828125,1089,275,62,46,8,7
29,0.59619140625,455,235,53,47,10,3
30,0.88232421875,575,370,142,110,1,0
30,0.63720703125,706,203,69,59,2,1
30,0.85205078125,780,348,131,100,3,2
30,0.79443359375,640,295,116,93,4,5
30,0.81982421875,456,292,93,65,5,4
30,0.515625,816,234,44,33,6,8
30,0.70556640625,402,263,68,55,7,6
30,0.658203125,1087,275,61,46,8,7
30,0.61328125,456,235,53,48,10,3
31,0.8759765625,577,371,143,110,1,0
31,0.673828125,705,203,68,59,2,1
31,0.82568359375,784,350,132,100,3,2
31,0.81298828125,642,296,116,93,4,5
31,0.83447265625,457,293,93,64,5,4
31,0.53125,815,233,44,32,6,8
31,0.71044921875,402,263,68,55,7,6
31,0.76220703125,1086,274,62,46,8,7
31,0.529296875,892,243,52,39,9,9
31,0.6513671875,456,236,54,48,10,3
32,0.8818359375,580,373,145,109,1,0
32,0.74609375,705,203,67,58,2,1
32,0.8623046875,788,351,132,100,3,2
32,0.72802734375,644,296,117,93,4,5
32,0.8115234375,458,293,93,65,5,4
32,0.54296875,815,233,44,31,6,8
32,0.673828125,404,263,70,56,7,6
32,0.73388671875,1083,274,61,45,8,7
32,0.5908203125,457,236,54,48,10,3
33,0.87255859375,582,374,145,110,1,0
33,0.77197265625,704,203,68,58,2,1
33,0.880859375,791,352,132,101,3,2
33,0.71533203125,646,297,118,93,4,5
33,0.82421875,459,293,94,66,5,4
33,0.5078125,813,233,44,31,6,8
33,0.6533203125,404,263,68,56,7,6
33,0.78662109375,1082,273,60,45,8,7
33,0.61328125,457,236,54,48,10,3
34,0.8759765625,585,376,149,110,1,0
34,0.7490234375,704,203,69,59,2,1
34,0.88427734375,796,353,134,102,3,2
34,0.65478515625,648,297,119,93,4,5
34,0.83349609375,460,294,95,66,5,4
34,0.50390625,812,232,44,31,6,8
34,0.6298828125,405,264,70,57,7,6
34,0.7734375,1080,273,62,45,8,7
34,0.529296875,889,242,50,40,9,9
34,0.5888671875,458,236,54,48,10,3
35,0.8759765625,588,378,151,111,1,0
35,0.7841796875,703,202,69,59,2,1
35,0.88427734375,800,354,135,103,3,2
35,0.708984375,651,298,119,94,4,5
35,0.83740234375,461,295,95,67,5,4
35,0.509765625,811,232,43,31,6,8
35,0.6689453125,406,264,70,57,7,6
35,0.8232421875,1078,273,60,45,8,7
35,0.56787109375,888,242,50,40,9,9
35,0.59619140625,459,236,55,48,10,3
36,0.880859375,591,380,152,113,1,0
36,0.7373046875,702,203,68,58,2,1
36,0.888671875,803,356,135,104,3,2
36,0.845703125,462,296,94,66,5,4
36,0.5849609375,810,232,43,31,6,8
36,0.62255859375,406,265,70,56,7,6
36,0.75634765625,1077,273,61,45,8,7
36,0.529296875,459,236,56,48,10,3
37,0.8916015625,594,382,155,114,1,0
37,0.7041015625,702,202,67,58,2,1
37,0.88427734375,808,357,135,105,3,2
37,0.84912109375,463,297,95,67,5,4
37,0.6494140625,810,232,43,31,6,8
37,0.6826171875,407,266,69,56,7,6
37,0.7890625,1075,273,60,45,8,7
37,0.57958984375,885,241,49,40,9,5
37,0.525390625,460,236,56,48,10,3
38,0.89990234375,597,383,156,115,1,0
38,0.70068359375,701,202,67,58,2,1
38,0.884765625,812,359,136,106,3,2
38,0.57958984375,656,300,117,94,4,9
38,0.84814453125,464,297,95,66,5,4
38,0.6826171875,408,266,70,56,7,6
38,0.74169921875,1073,273,61,45,8,7
38,0.6533203125,884,241,50,40,9,5
38,0.513671875,461,236,56,48,10,3
39,0.89697265625,599,384,155,116,1,0
39,0.76220703125,701,202,66,58,2,1
39,0.88623046875,817,360,139,107,3,2
39,0.63525390625,659,301,118,95,4,9
39,0.841796875,466,298,96,67,5,4
39,0.515625,807,232,42,31,6,8
39,0.69091796875,410,266,73,56,7,6
39,0.78271484375,1071,273,62,45,8,7
39,0.64794921875,883,240,50,39,9,5
39,0.57763671875,462,237,56,48,10,3
40,0.90283203125,601,385,154,116,1,0
40,0.80419921875,700,202,66,58,2,1
40,0.8896484375,822,361,140,108,3,2
40,0.5927734375,661,302,119,96,4,9
40,0.8173828125,467,298,96,68,5,4
40,0.54296875,807,232,42,30,6,8
40,0.69287109375,410,266,72,57,7,6
40,0.77734375,1070,272,61,45,8,7
40,0.67724609375,882,240,50,39,9,5
41,0.89697265625,602,387,154,117,1,0
41,0.80810546875,699,202,66,57,2,1
41,0.88720703125,826,363,142,108,3,2
41,0.59619140625,664,302,121,97,4,9
41,0.8310546875,469,298,96,69,5,4
41,0.51171875,806,233,41,31,6,8
41,0.7373046875,411,266,72,58,7,6
41,0.7294921875,1067,272,62,45,8,7
41,0.658203125,881,240,50,39,9,5
42,0.89404296875,605,388,155,116,1,0
42,0.7880859375,698,202,66,57,2,1
42,0.880859375,830,364,142,108,3,2
42,0.71240234375,667,303,123,98,4,9
42,0.82666015625,470,300,97,68,5,4
42,0.52734375,805,232,40,31,6,8
42,0.71533203125,413,267,73,58,7,6
42,0.81298828125,1066,271,61,45,8,7
42,0.63720703125,880,240,49,39,9,5
42,0.51953125,464,238,56,49,10,3
43,0.89697265625,607,390,157,118,1,0
43,0.71240234375,698,202,66,58,2,1
43,0.87060546875,835,366,143,109,3,2
43,0.78662109375,670,304,124,98,4,9
43,0.8173828125,472,300,99,68,5,4
43,0.51171875,804,232,41,31,6,8
43,0.708984375,413,267,72,58,7,6
43,0.81640625,1064,271,62,44,8,7
43,0.66357421875,878,240,50,38,9,5
43,0.56591796875,465,238,57,49,10,3
44,0.89404296875,610,391,158,120,1,0
44,0.73388671875,697,202,65,57,2,1
44,0.88720703125,839,368,145,110,3,2
44,0.740234375,672,305,125,98,4,9
44,0.81982421875,473,302,98,67,5,4
44,0.6826171875,414,267,74,58,7,6
44,0.81884765625,1063,271,60,44,8,7
44,0.6318359375,877,239,50,39,9,5
44,0.548828125,465,238,58,49,10,3
45,0.89501953125,613,393,160,121,1,0
45,0.78662109375,697,202,65,57,2,1
45,0.86962890625,844,369,145,110,3,2
45,0.72509765625,675,305,127,98,4,9
45,0.80810546875,474,302,99,68,5,4
45,0.67578125,416,267,76,58,7,6
45,0.80078125,1061,270,61,44,8,7
45,0.6806640625,877,239,49,40,9,5
46,0.8974609375,616,394,161,123,1,0
46,0.74755859375,696,201,65,57,2,1
46,0.89306640625,848,371,146,111,3,2
46,0.642578125,678,306,128,99,4,9
46,0.8232421875,475,303,98,68,5,4
46,0.6689453125,418,268,77,57,7,6
46,0.81640625,1059,270,61,45,8,7
46,0.6533203125,876,239,49,40,9,5
46,0.53125,468,239,56,48,10,3
47,0.9033203125,618,396,162,124,1,0
47,0.69287109375,696,201,65,57,2,1
47,0.89404296875,853,372,148,111,3,2
47,0.81298828125,680,307,128,100,4,9
47,0.82080078125,476,303,98,69,5,4
47,0.67236328125,418,269,76,57,7,6
47,0.81396484375,1057,270,60,45,8,7
47,0.611328125,875,239,48,40,9,5
47,0.55810546875,468,239,56,48,10,3
48,0.9072265625,622,399,162,124,1,0
48,0.5927734375,696,201,65,57,2,1
48,0.8896484375,859,374,149,112,3,2
48,0.77587890625,682,308,128,101,4,9
48,0.81884765625,477,303,99,70,5,4
48,0.64599609375,420,270,79,57,7,6
48,0.8017578125,1057,270,60,44,8,7
48,0.609375,874,239,48,40,9,5
49,0.90478515625,625,401,163,124,1,0
49,0.56201171875,695,201,65,56,2,1
49,0.8857421875,863,376,150,114,3,2
49,0.7265625,685,308,129,101,4,9
49,0.80810546875,478,304,98,70,5,4
49,0.67236328125,420,270,79,58,7,6
49,0.810546875,1054,270,59,44,8,7
49,0.60400390625,873,239,49,40,9,5
49,0.611328125,470,240,56,49,10,3
50,0.9052734375,628,402,164,125,1,0
50,0.57763671875,694,201,64,56,2,1
50,0.8759765625,868,378,151,116,3,2
50,0.7490234375,687,309,130,101,4,9
50,0.82421875,479,305,98,70,5,4
50,0.67578125,421,270,78,59,7,6
50,0.80908203125,1053,269,59,44,8,7
50,0.5830078125,872,239,49,40,9,5
50,0.501953125,471,241,57,50,10,3
51,0.9052734375,630,405,166,125,1,0
51,0.64794921875,694,201,64,56,2,1
51,0.8955078125,873,380,152,116,3,2
51,0.61865234375,690,310,130,103,4,9
51,0.82666015625,480,305,100,71,5,4
51,0.6279296875,421,270,77,60,7,6
51,0.8017578125,1052,269,59,43,8,7
51,0.63330078125,871,239,50,39,9,5
52,0.90283203125,633,406,167,126,1,0
52,0.7294921875,693,201,64,56,2,1
52,0.89697265625,878,381,153,117,3,2
52,0.60009765625,693,310,130,103,4,9
52,0.81884765625,482,306,101,72,5,4
52,0.62255859375,422,270,78,59,7,6
52,0.75048828125,1050,269,59,43,8,7
52,0.66015625,870,238,50,39,9,5
53,0.89697265625,636,408,168,127,1,0
53,0.5234375,693,201,65,56,2,1
53,0.8916015625,883,383,154,117,3,2
53,0.5078125,696,311,131,104,4,9
53,0.806640625,484,307,101,72,5,4
53,0.638671875,422,271,78,61,7,6
53,0.79833984375,1048,268,58,42,8,7
53,0.55078125,868,238,49,39,9,5
54,0.90380859375,639,410,169,127,1,0
54,0.88818359375,889,385,155,118,3,2
54,0.67236328125,697,312,130,105,4,9
54,0.8154296875,485,307,103,72,5,4
54,0.658203125,423,271,79,62,7,6
54,0.7734375,1046,268,59,43,8,7
54,0.6875,867,238,48,39,9,5
55,0.8974609375,643,411,170,128,1,0
55,0.62451171875,691,200,65,56,2,1
55,0.88330078125,894,386,158,120,3,2
55,0.80908203125,487,307,104,74,5,4
55,0.642578125,424,272,78,61,7,6
55,0.79833984375,1045,268,59,43,8,7
55,0.66015625,866,237,50,38,9,5
56,0.9052734375,646,414,173,129,1,0
56,0.740234375,690,201,65,56,2,1
56,0.9033203125,899,388,160,121,3,2
56,0.5078125,703,314,132,106,4,3
56,0.8154296875,488,307,104,74,5,4
56,0.69091796875,425,273,80,61,7,6
56,0.80078125,1042,268,59,43,8,7
56,0.6318359375,866,237,49,38,9,5
56,0.57568359375,477,242,58,51,10,8
56,0.50390625,703,314,132,106,29,9
57,0.90283203125,649,416,176,131,1,0
57,0.64794921875,689,201,66,56,2,1
57,0.90576171875,904,390,160,122,3,2
57,0.537109375,707,315,134,106,4,3
57,0.81640625,489,308,105,75,5,4
57,0.6826171875,425,273,79,61,7,6
57,0.796875,1041,268,58,43,8,7
57,0.56982421875,865,237,50,38,9,5
57,0.56005859375,477,242,58,52,10,8
58,0.89306640625,654,418,179,133,1,0
58,0.6259765625,689,200,66,56,2,1
58,0.89404296875,911,392,162,123,3,2
58,0.56201171875,710,315,135,107,4,3
58,0.82763671875,491,309,106,74,5,4
58,0.6513671875,426,273,79,60,7,6
58,0.8017578125,1040,267,59,43,8,7
58,0.609375,864,237,50,38,9,5
58,0.552734375,479,242,57,52,10,8
59,0.900390625,659,420,184,135,1,0
59,0.513671875,689,200,64,55,2,1
59,0.9033203125,916,394,162,124,3,2
59,0.533203125,713,316,137,108,4,3
59,0.82568359375,492,310,107,73,5,4
59,0.640625,427,274,79,61,7,6
59,0.80908203125,1038,267,57,42,8,7
59,0.611328125,479,243,58,51,10,8
60,0.90478515625,663,422,186,136,1,0
60,0.69775390625,688,199,64,56,2,1
60,0.8857421875,922,396,164,126,3,2
60,0.71240234375,716,317,137,108,4,3
60,0.830078125,493,311,105,73,5,4
60,0.615234375,427,274,79,61,7,6
60,0.78271484375,1036,267,57,42,8,7
60,0.54296875,861,237,48,38,9,5
60,0.521484375,480,243,57,52,10,8
61,0.9013671875,665,423,185,137,1,0
61,0.77587890625,688,199,65,56,2,1
61,0.88818359375,928,397,166,127,3,2
61,0.830078125,495,312,106,74,5,4
61,0.64794921875,428,274,80,62,7,6
61,0.82080078125,1035,266,56,42,8,7
61,0.61328125,481,243,56,51,10,8
62,0.89990234375,668,425,185,138,1,0
62,0.73583984375,687,199,66,56,2,1
62,0.8818359375,934,400,167,127,3,2
62,0.55810546875,722,320,139,110,4,3
62,0.81396484375,496,312,107,75,5,4
62,0.5078125,787,229,40,31,6,5
62,0.6279296875,429,274,80,63,7,6
62,0.806640625,1033,266,57,41,8,7
62,0.60400390625,482,243,56,51,10,8
63,0.8974609375,670,426,185,140,1,0
63,0.78662109375,686,199,66,57,2,1
63,0.89404296875,940,402,169,128,3,2
63,0.61865234375,724,321,140,111,4,3
63,0.81884765625,498,312,107,77,5,4
63,0.640625,430,275,80,62,7,6
63,0.80419921875,1031,265,57,42,8,7
63,0.5869140625,483,243,57,52,10,8
64,0.90380859375,673,429,186,139,1,0
64,0.806640625,686,199,65,57,2,1
64,0.90673828125,946,404,170,129,3,2
64,0.71875,728,322,142,111,4,3
64,0.83203125,499,313,108,77,5,4
64,0.505859375,786,228,41,31,6,5
64,0.70751953125,432,275,82,63,7,6
64,0.83447265625,1030,265,59,42,8,7
64,0.55078125,856,237,48,38,9,9
64,0.65478515625,484,244,57,53,10,8
65,0.90673828125,676,432,187,139,1,0
65,0.806640625,686,199,64,57,2,1
65,0.91259765625,952,406,172,130,3,2
65,0.7373046875,732,323,141,112,4,3
65,0.8388671875,501,313,109,78,5,4
65,0.73388671875,433,276,82,63,7,6
65,0.7958984375,1029,265,58,42,8,7
65,0.62451171875,485,244,57,53,10,8
66,0.90380859375,680,435,188,141,1,0
66,0.80078125,685,198,64,56,2,1
66,0.9033203125,959,408,174,131,3,2
66,0.81640625,735,323,143,112,4,3
66,0.82568359375,503,313,110,78,5,4
66,0.7138671875,433,277,83,63,7,6
66,0.8154296875,1027,265,58,42,8,7
66,0.552734375,487,245,56,54,10,8
67,0.9111328125,684,438,190,142,1,0
67,0.79052734375,685,199,64,56,2,1
67,0.908203125,965,411,176,132,3,2
67,0.8017578125,738,324,144,113,4,3
67,0.8427734375,505,314,110,77,5,4
67,0.74755859375,435,277,84,63,7,6
67,0.7041015625,1025,265,57,42,8,7
67,0.55810546875,487,245,56,54,10,8
68,0.9052734375,688,441,190,144,1,0
68,0.767578125,684,198,63,56,2,1
68,0.9052734375,972,413,177,132,3,2
68,0.67724609375,741,326,145,115,4,3
68,0.8427734375,506,315,110,76,5,4
68,0.77587890625,436,277,85,63,7,6
68,0.74609375,1024,264,59,42,8,7
68,0.60400390625,488,245,59,54,10,8
69,0.90380859375,692,443,193,145,1,0
69,0.78271484375,683,198,62,56,2,1
69,0.91748046875,978,416,178,134,3,2
69,0.6259765625,743,327,145,114,4,3
69,0.85595703125,507,316,111,77,5,4
69,0.75634765625,437,278,86,63,7,6
69,0.763671875,1022,264,57,42,8,7
69,0.546875,489,245,58,54,10,8
70,0.9033203125,696,445,195,146,1,0
70,0.7705078125,683,198,60,56,2,1
70,0.89990234375,985,418,180,136,3,2
70,0.78125,746,328,146,115,4,3
70,0.84814453125,510,318,111,77,5,4
70,0.732421875,438,278,86,63,7,6
70,0.81884765625,1020,263,57,41,8,7
70,0.521484375,491,246,57,54,10,8
71,0.91162109375,700,447,197,148,1,0
71,0.78515625,683,198,61,56,2,1
71,0.9033203125,991,420,181,137,3,2
71,0.62255859375,750,329,148,115,4,3
71,0.84912109375,511,319,112,77,5,4
71,0.74169921875,440,279,86,64,7,6
71,0.75634765625,1019,263,57,41,8,7
71,0.541015625,491,246,57,54,10,8
72,0.91357421875,704,449,198,148,1,0
72,0.78515625,683,198,61,56,2,1
72,0.9091796875,998,422,182,138,3,2
72,0.70263671875,753,330,149,116,4,3
72,0.84375,512,319,112,77,5,4
72,0.515625,778,227,41,31,6,5
72,0.7607421875,440,280,87,64,7,6
72,0.8154296875,1017,262,56,41,8,7
72,0.609375,491,247,57,54,10,8
72,0.5078125,753,330,150,116,40,9
73,0.9091796875,708,452,200,150,1,0
73,0.78125,682,198,61,55,2,1
73,0.90380859375,1005,425,185,139,3,2
73,0.7548828125,757,331,150,116,4,3
73,0.84814453125,514,321,112,78,5,4
73,0.74755859375,442,280,89,64,7,6
73,0.79443359375,1016,263,56,41,8,7
73,0.517578125,847,235,47,38,9,10
73,0.55078125,492,247,58,54,10,8
74,0.9072265625,713,454,201,152,1,0
74,0.6689453125,681,198,61,55,2,1
74,0.90576171875,1013,427,187,140,3,2
74,0.78271484375,760,333,151,117,4,3
74,0.85205078125,515,322,112,78,5,4
74,0.73583984375,443,281,90,65,7,6
74,0.69775390625,1014,263,56,41,8,7
74,0.52734375,493,248,59,54,10,8
75,0.91259765625,717,457,202,153,1,0
75,0.58154296875,680,198,61,55,2,1
75,0.90576171875,1020,429,188,142,3,2
75,0.8154296875,763,334,151,118,4,3
75,0.85595703125,516,323,114,79,5,4
75,0.77587890625,444,281,91,64,7,6
75,0.79931640625,1013,263,56,41,8,7
75,0.513671875,845,235,47,38,9,5
75,0.56982421875,494,248,59,53,10,8
76,0.90283203125,722,460,204,154,1,0
76,0.69580078125,680,198,61,55,2,1
76,0.88720703125,1028,432,191,143,3,2
76,0.845703125,767,335,152,120,4,3
76,0.85302734375,518,323,114,81,5,4
76,0.74609375,445,282,90,65,7,6
76,0.7646484375,1011,262,56,41,8,7
76,0.57763671875,844,235,47,38,9,5
76,0.56982421875,496,248,60,52,10,8
77,0.90869140625,726,462,208,155,1,0
77,0.689453125,680,198,61,56,2,1
77,0.8984375,1035,435,193,145,3,2
77,0.81298828125,771,336,154,120,4,3
77,0.8427734375,519,324,114,81,5,4
77,0.73388671875,446,282,89,65,7,6
77,0.80419921875,1010,262,55,41,8,7
77,0.5078125,844,234,47,37,9,5
77,0.56787109375,497,249,59,54,10,8
