lane_id,A,B,C,x1,y1,x2,y2
1,0.9499766029473213,-0.3123210749415851,-1575.9200906427482,2252,1804,2300,1950
2,0.9500511911545885,-0.31209411110392277,-1589.8119915826635,2267,1807,2335,2014
3,0.9496577801280875,-0.31328916457833816,-1573.7493765409233,2282,1894,2346,2088
4,0.9497217817885489,-0.31309509289732385,-1587.5904145482668,2299,1903,2359,2085
5,0.8763825524604396,-0.481615636937719,-1050.8616337831716,2346,2087,2407,2198
6,0.875106719898271,-0.4839299833538826,-1042.4618063916275,2347,2090,2467,2307
7,0.8750780964417622,-0.4839817404901366,-1054.8944234994208,2378,2120,2477,2299
8,0.8289076234099277,-0.5593855127306261,-755.3840257457515,2454,2286,2564,2449
9,0.8289644412686111,-0.559301309771593,-768.7496627576659,2465,2279,2577,2445
10,0.8277398255382956,-0.5611120932735562,-748.7583240120525,2501,2355,2642,2563
11,0.24100271371639737,-0.9705244417227894,1086.5379372363773,2555,1754,2704,1791
12,0.8278011433633509,-0.5610216279666311,-762.3538510714673,2559,2417,2702,2628
13,0.242535625036333,-0.970142500145332,1068.6119639100832,2558,1741,2710,1779
14,0.8281455336241735,-0.5605131355627029,-751.9965418738532,2592,2488,2703,2652
15,0.8263820319978263,-0.5631098802109082,-741.1330466261568,2629,2542,2706,2655
16,0.8262273428075476,-0.5633368246415098,-752.880888239223,2626,2515,2716,2647
17,0.7071067811865476,-0.7071067811865476,-645.5884912233179,2686,1773,2798,1885
18,0.7071067811865476,-0.7071067811865476,-658.3164132846757,2711,1780,2803,1872
19,0.7071067811865476,-0.7071067811865476,-659.0235200658623,2712,1780,2809,1877
20,0.6694156363838948,-0.7428880842796881,147.47553013750073,2715,2645,2806,2727
21,0.6683689288001602,-0.7438299368905009,165.44287016606546,2705,2653,2843,2777
22,0.6691689641594586,-0.7431102861660287,147.6940936420233,2711,2640,2912,2821
23,0.6691282924760094,-0.7431469089003467,160.53749679041672,2701,2648,2952,2874
24,0.6427351984295836,-0.7660884183302107,-355.55591795146034,2794,1880,2912,1979
25,0.6313899422012887,-0.7754654994821197,-317.97051740240335,2804,1873,2987,2022
