lane_id,A,B,C,x1,y1,x2,y2
1,0.18208926018230742,-0.9832820049844601,2137.3273181678883,126,2197,180,2207
2,0.18428853505018536,-0.9828721869343219,2136.8255639068993,165,2205,229,2217
3,0.20308525658568774,-0.9791610585381373,2111.1075074326145,130,2183,265,2211
4,0.19071951686069286,-0.9816445720770955,2133.5848445181255,224,2217,399,2251
5,0.19061455511114522,-0.9816649588223979,2120.2914730510684,222,2203,428,2243
6,0.1860433673303949,-0.982541533713648,2136.841792459854,339,2239,508,2271
7,0.18514836986616265,-0.9827105785204018,2124.2927005682686,368,2231,506,2257
8,0.1564215542453311,-0.9876903853776622,1963.635746625132,435,2057,656,2092
9,0.19284282333502178,-0.981229659910552,2007.2158703780647,465,2137,638,2171
10,0.1921552928553275,-0.9813645313682797,2021.755051088298,464,2151,750,2207
11,0.18918151214699683,-0.9819421344772693,2011.422880364048,465,2138,792,2201
12,0.1558335034159702,-0.9877833361689723,1978.1731133547569,446,2073,839,2135
13,0.18976535975542047,-0.9818294700389146,2024.4581112099029,554,2169,792,2215
14,0.15634855722313576,-0.9877019432269251,1963.3785777112744,437,2057,1094,2161
15,0.15621324849449555,-0.9877233524599875,1977.4009977474948,487,2079,1094,2175
16,0.7071067811865475,-0.7071067811865475,1202.7886347983174,785,2486,860,2561
17,-0.7180338054349428,-0.6960082285811101,2289.0829614958557,786,2478,944,2315
18,-0.7186773670537907,-0.6953436863052911,2301.2702636123336,791,2492,940,2338
19,-0.7183822213408705,-0.6956486067414759,2301.0782828590454,790,2492,943,2334
20,-0.7204868533597422,-0.6934685963587518,2284.4746842047352,854,2407,931,2327
21,0.2216211035889681,-0.9751328557914597,2034.0384887395494,854,2280,942,2300
22,0.22253705317022812,-0.9749242329362375,2045.8996968217582,852,2293,944,2314
23,0.4287444523171484,-0.9034258102397056,1930.5597072747769,902,2565,961,2593
24,0.4231372364771663,-0.9060656041956712,1955.027412740354,855,2557,1052,2649
25,0.10550858273867868,-0.9944183923120465,2118.878750564083,775,2213,1152,2253
26,0.10637980972550302,-0.9943255684547017,2104.6463788241767,779,2200,1237,2249
27,0.10582444049858457,-0.9943848288229067,2119.278561170352,787,2215,1332,2273
28,0.4200631338479645,-0.9074948835017347,1948.4469949147704,985,2603,1214,2709
29,0.19241446072101123,-0.9813137496771572,1910.5024219449926,1092,2161,1143,2171
30,0.17378533390904768,-0.9847835588179369,1952.709940246696,1066,2171,1253,2204
31,0.18645299946091293,-0.9824638817748104,1918.9527566440856,1116,2165,1253,2191
32,0.4195697813854083,-0.9077230847280467,1962.170528871535,1089,2665,1314,2769
33,0.10722143934228746,-0.9942351648103019,2104.2207470923913,1081,2233,1387,2266
34,0.10606498139220574,-0.9943592005519288,2119.244618829641,1160,2255,1385,2279
35,0.42808634473904467,-0.9037378388935388,1939.2311416678724,1303,2763,1360,2790
36,0.41954184694810376,-0.9077359961240791,1948.7413669396185,1238,2719,1476,2829
37,0.42808634473904467,-0.9037378388935388,1938.565229576056,1351,2785,1408,2812
38,0.8982167220477765,-0.4395528639808268,-432.1760202635834,1431,1941,1477,2035
39,0.9001592514155135,-0.4355609281042807,-456.0903665155958,1442,1933,1487,2026
40,0.42288546533112387,-0.9061831399952655,1952.0393079684677,1444,2828,1504,2856
41,0.24061598013442476,-0.9706203944405609,1880.2262858507638,1375,2278,1613,2337
42,0.24153843426492252,-0.9703912534503027,1864.6173872957334,1384,2266,1613,2323
43,0.7135639703685389,-0.7005900799982019,371.0921862627512,1475,2032,1529,2087
44,0.696785684263249,-0.7172793808592269,417.1082068179384,1488,2027,1558,2095
45,0.41905817746174695,-0.9079593845004517,1962.519288082938,1442,2827,1637,2917
46,0.4195697813854083,-0.9077230847280467,1947.9858428008515,1443,2813,1668,2917
47,0.3271105638831663,-0.9449860734402581,1483.7735177740421,1548,2106,1730,2169
48,0.3240570572744072,-0.9460375381720598,1477.7158613514875,1556,2095,1737,2157
49,0.4224363633454569,-0.9063925854305435,1952.131752230264,1554,2878,1775,2981
50,0.4287444523171484,-0.9034258102397056,1919.8410959668483,1635,2901,1694,2929
51,0.49613893835683387,-0.8682431421244593,1216.160572647189,1614,2323,1775,2415
52,0.4224036495832987,-0.906407831397495,1938.5775493823844,1670,2917,1773,2965
53,0.49854102316179494,-0.8668661074380464,1221.9798546005104,1609,2335,1842,2469
54,0.49972245348957717,-0.8661855860486004,1218.0235081354954,1629,2346,1889,2496
55,0.2122247379325604,-0.9772208862941153,1751.505568534486,1716,2165,1914,2208
56,0.2115929431811489,-0.977357880408164,1739.545889309974,1719,2152,1913,2194
57,0.488359565008499,-0.8726425014086293,1722.5082329410425,1796,2979,1905,3040
58,0.49701614098148733,-0.8677412953201377,1704.3987123149577,1784,2986,1997,3108
59,0.48860336893184325,-0.8725060159497201,1722.1523742815575,1870,3021,1920,3049
60,0.5292990912724219,-0.8484353080690292,1105.511206413945,1853,2459,1962,2527
61,0.13639447466217813,-0.9906546054410833,1857.3553480404912,1853,2130,1991,2149
62,0.15044199698646263,-0.9886188373396115,1812.245787412784,1859,2116,1997,2137
63,0.5422211440542026,-0.8402358186488789,1073.573030671105,1860,2478,2063,2609
64,0.5057194997124201,-0.862697970097658,1658.462476998084,1944,3062,2002,3096
65,0.5342929892953631,-0.845299356198634,1088.5143096392203,1929,2507,2035,2574
66,0.2879622113716362,-0.9576417727010226,1550.4823011634753,1912,2194,2055,2237
67,0.14342907231889207,-0.9896605990003554,1827.1859809920618,2006,2137,2075,2147
68,0.5057194997124201,-0.862697970097658,1657.2725487634664,2018,3104,2076,3138
69,0.12575426475263257,-0.9920614219374346,1882.2618894252369,2017,2153,2088,2162
70,0.5346417126044628,-0.8450788360522153,1087.9268991226488,2010,2559,2108,2621
71,0.49820109190082823,-0.8670615157120183,1699.0333872108292,2004,3111,2185,3215
72,0.5336840449512361,-0.8456839481534972,1091.8682928276182,2063,2593,2166,2658
73,0.5430427761502273,-0.8397050334915552,1069.7188464081494,1950,2535,2284,2751
74,0.13549108586630013,-0.9907785653973197,1858.861484349838,2039,2155,2273,2187
75,0.4974240442728331,-0.867507533211821,1701.7433669503207,2069,3148,2287,3273
76,0.2217863771585166,-0.9750952788865815,1741.0727714340633,2064,2255,2319,2313
77,0.5350520811843448,-0.8448190755542285,1087.4792746892547,2147,2647,2237,2704
78,0.12403473458920847,-0.9922778767136677,1873.668700704583,2118,2153,2286,2174
79,0.4970777964489761,-0.8677059780118092,1689.8988153277023,2106,3154,2305,3268
80,0.1254381138893791,-0.9921014462159983,1870.6471889674112,2147,2157,2321,2179
81,0.5330376563645239,-0.8460915180389268,1095.815429588116,2195,2678,2295,2741
82,0.5432512781572743,-0.8395701571521511,1068.328331736196,2098,2630,2421,2839
83,0.2241476929214269,-0.9745551866148995,1720.6648919354004,2067,2241,2467,2333
84,0.49711199272005346,-0.8676863872931841,1702.2922310708157,2196,3220,2388,3330
85,0.5355420253583323,-0.8445085784496777,1086.5529761414377,2284,2735,2366,2787
86,0.22322886875251344,-0.9747660602193088,1736.4006375160093,2077,2257,2601,2377
87,0.4970777964489761,-0.8677059780118092,1689.2098829431502,2261,3242,2460,3356
88,0.544045330005614,-0.8390558258537286,1064.6200847181688,2272,2742,2491,2884
89,0.13582625352216185,-0.9907326727498864,1857.1044257308051,2265,2185,2513,2219
90,0.12818540282179658,-0.9917502218317946,1864.4296976424373,2337,2182,2484,2201
91,0.5434872235709255,-0.8394174395467173,1053.2810847632995,2331,2764,2626,2955
92,0.14393984571411075,-0.9895864392845114,1834.0275366470564,2459,2211,2514,2219
93,0.49704592211083687,-0.8677242369053593,1688.692459103682,2388,3314,2594,3432
94,0.49416662494711616,-0.8693672105551118,1714.8313984368556,2448,3364,2543,3418
95,0.22325778531160578,-0.974759437655136,1722.8663756380797,2277,2289,2766,2401
96,0.14654866108946235,-0.9892034623538708,1826.1795030010626,2490,2215,2571,2227
97,0.4966791303954192,-0.8679342379637124,1703.0976872431531,2474,3378,2647,3477
98,0.10446726114148984,-0.9945283260669833,1873.9420877369362,2330,2129,2806,2179
99,0.4970777964489761,-0.8677059780118092,1688.0195124306015,2520,3389,2719,3503
100,0.10240004547398948,-0.9947432988901834,1866.1238001400593,2419,2125,2827,2167
101,0.5431424787082074,-0.8396405467952965,1067.6633044145206,2471,2870,2791,3077
102,0.12973533848056018,-0.9915486583871386,1874.4532376066995,2580,2228,2687,2242
103,0.10268019817008582,-0.9947144197727064,1866.032911394512,2558,2140,2713,2156
104,0.13764991965330672,-0.9904809435922723,1837.8747957049325,2529,2207,2860,2253
105,0.5432512781572743,-0.8395701571521511,1053.709933705782,2536,2896,2859,3105
106,0.4971884456659331,-0.8676425816523147,1700.0432764206616,2610,3455,2788,3557
107,0.10002494007493089,-0.9949849302190493,1886.496692165848,2636,2161,2825,2180
108,0.22341181885799005,-0.9747241451788115,1721.7970520659808,2498,2339,3039,2463
109,0.49704592211083687,-0.8677242369053593,1700.2424584123933,2679,3494,2885,3612
110,0.542803310729533,-0.8398598489397252,1068.7365106027107,2628,2971,2939,3172
111,0.5434524535806708,-0.8394399506201434,1052.0948366078799,2664,2978,3010,3202
112,0.14731130308878132,-0.9890901778818174,1806.5626876652045,2810,2245,2904,2259
113,0.14980537942799493,-0.9887155042247666,1798.054047122452,2854,2251,2920,2261
114,0.48564293117863205,-0.8741572761215377,1743.0696085863462,2853,3579,2934,3624
